sigma,theta,kai,inv_zeta,mu,phi_o_y,gamma_w,ksi_w,gamma_p,ksi_p,phi_r,phi_pi,phi_y,z_star_bar,psi_bar,eta,n_k,mu_E,r_E_bar,rho_b,rho_g,rho_w,rho_p,rho_r,rho_nu,rho_z,rho_psi,rho_i,rho_efp,rho_nw,sigma_b,sigma_g,sigma_w,sigma_p,sigma_r,sigma_nu,sigma_z,sigma_psi,sigma_i,sigma_efp,sigma_nw
1.207825,0.320794,3.502360,0.549021,1.189874,0.323419,0.318525,0.389070,0.693243,0.471999,0.527216,1.924495,0.081960,0.339881,0.432314,0.000000,0.000000,0.000000,0.000000,0.890320,0.892053,0.223653,0.975005,0.367743,0.877038,0.046704,0.125353,0.914044,0.000000,0.000000,1.695399,1.034266,0.758208,0.551463,0.455897,0.512992,1.421360,0.539819,1.421793,0.000000,0.000000
1.207825,0.320794,3.502360,0.549021,1.189874,0.323419,0.318525,0.389070,0.693243,0.471999,0.527216,1.924495,0.081960,0.339881,0.432314,0.000000,0.000000,0.000000,0.000000,0.890320,0.892053,0.223653,0.975005,0.367743,0.877038,0.046704,0.125353,0.914044,0.000000,0.000000,1.695399,1.034266,0.758208,0.551463,0.455897,0.512992,1.421360,0.539819,1.421793,0.000000,0.000000
1.194148,0.316981,3.516611,0.549126,1.179517,0.320502,0.326255,0.386689,0.689302,0.471480,0.530941,1.929162,0.080475,0.338243,0.434292,0.000000,0.000000,0.000000,0.000000,0.871882,0.901081,0.223810,0.983791,0.373813,0.880599,0.046503,0.124713,0.917295,0.000000,0.000000,1.690226,1.043136,0.763365,0.546062,0.451139,0.519802,1.414140,0.537708,1.431436,0.000000,0.000000
1.186412,0.312824,3.495876,0.547822,1.175054,0.321263,0.322294,0.384442,0.681745,0.473386,0.532329,1.936426,0.081218,0.339342,0.432606,0.000000,0.000000,0.000000,0.000000,0.856777,0.919555,0.221729,0.984263,0.371328,0.882446,0.046211,0.126093,0.895272,0.000000,0.000000,1.697888,1.025253,0.751074,0.541267,0.448302,0.520695,1.419339,0.546392,1.406796,0.000000,0.000000
1.163160,0.312375,3.430276,0.549574,1.172511,0.320374,0.325129,0.385752,0.688973,0.470324,0.530198,1.937516,0.081132,0.338127,0.438988,0.000000,0.000000,0.000000,0.000000,0.864176,0.916320,0.218127,0.975371,0.365933,0.879513,0.045739,0.127515,0.905218,0.000000,0.000000,1.720653,1.021677,0.760461,0.537957,0.449576,0.518811,1.401623,0.549246,1.423144,0.000000,0.000000
1.163160,0.312375,3.430276,0.549574,1.172511,0.320374,0.325129,0.385752,0.688973,0.470324,0.530198,1.937516,0.081132,0.338127,0.438988,0.000000,0.000000,0.000000,0.000000,0.864176,0.916320,0.218127,0.975371,0.365933,0.879513,0.045739,0.127515,0.905218,0.000000,0.000000,1.720653,1.021677,0.760461,0.537957,0.449576,0.518811,1.401623,0.549246,1.423144,0.000000,0.000000
1.174890,0.319430,3.430718,0.552087,1.176841,0.321471,0.325580,0.379045,0.680049,0.473906,0.534377,1.953967,0.079457,0.342496,0.439778,0.000000,0.000000,0.000000,0.000000,0.858576,0.912479,0.219110,0.976118,0.364771,0.881962,0.046529,0.127628,0.901565,0.000000,0.000000,1.695792,1.004990,0.757938,0.542160,0.452973,0.511481,1.414136,0.550553,1.449512,0.000000,0.000000
1.163089,0.323278,3.398449,0.556490,1.162485,0.319969,0.328976,0.379356,0.686692,0.475931,0.529495,1.956807,0.081588,0.345959,0.442236,0.000000,0.000000,0.000000,0.000000,0.856177,0.930984,0.219434,0.969971,0.365059,0.879064,0.046803,0.128653,0.897118,0.000000,0.000000,1.699197,0.991858,0.754950,0.540697,0.453526,0.510408,1.439768,0.547836,1.454625,0.000000,0.000000
1.163089,0.323278,3.398449,0.556490,1.162485,0.319969,0.328976,0.379356,0.686692,0.475931,0.529495,1.956807,0.081588,0.345959,0.442236,0.000000,0.000000,0.000000,0.000000,0.856177,0.930984,0.219434,0.969971,0.365059,0.879064,0.046803,0.128653,0.897118,0.000000,0.000000,1.699197,0.991858,0.754950,0.540697,0.453526,0.510408,1.439768,0.547836,1.454625,0.000000,0.000000
1.163089,0.323278,3.398449,0.556490,1.162485,0.319969,0.328976,0.379356,0.686692,0.475931,0.529495,1.956807,0.081588,0.345959,0.442236,0.000000,0.000000,0.000000,0.000000,0.856177,0.930984,0.219434,0.969971,0.365059,0.879064,0.046803,0.128653,0.897118,0.000000,0.000000,1.699197,0.991858,0.754950,0.540697,0.453526,0.510408,1.439768,0.547836,1.454625,0.000000,0.000000
